dwc:stateProvince	dwc:countryCode	dwc:collectionID	dwc:decimalLongitude	dwc:recordedBy	idigbio:uuid	dwc:month	commonname	dwc:collectionCode	dwc:day	taxonid	dwc:decimalLatitude	dwc:occurrenceID	dwc:basisOfRecord	dwc:institutionID	dwc:institutionCode	dwc:year	dwc:scientificName	dwc:continent	dwc:catalogNumber
Virginia		a3883acd-bc7d-40f2-a6e4-372a3435e5d1		Buker, W.E.	6d33b7c1-1abf-4ab7-9684-cf5b81948f1b	5			29	3032690		B19604A1-FF18-49F4-B7AA-27BA52EA751A	PreservedSpecimen		CM	1960	Heuchera longiflora	north america	CM434451
North Carolina				S. W. Leonard	4eeb8024-1d7d-42d4-a4aa-c11294cdcc81		longflower alumroot	Herb		3032690		urn:uuid:aef23700-0fe7-11e3-80ec-0050569e004a	PreservedSpecimen	urn:lsid:biocol.org:col:15754	VSC		Heuchera longiflora	North America	VSC0037516
Kentucky		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Furr, R. S.	4de7d3dd-1d07-41d8-8b80-a1c7c51e2a8f	6			12	3032690		e0460d18-8800-40ca-b0fd-c1417a4b564e	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00190325
Kentucky		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Furr, R. S.	014ed9f5-1c89-46c5-873e-0d05656e72e0	6			12	3032690		4616a336-ddc5-4f0e-be52-810f356509c1	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00190323
Tennessee		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Furr, R. S.	9f04d095-67d4-4f29-b5c4-c17a93a97425	6			9	3032690		5dc7a2cb-89cd-41c1-a3a7-0dd85d8eb54d	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00190336
Kentucky		06bf658d-f555-4c9c-ab93-fc2d7db7086e		R Riggins	2602fb9b-1419-4bab-ad92-532e92c8fc72	6		UTC	10	3032690		USU:UTC:128802	PreservedSpecimen		USU	1968	Heuchera longiflora	north america	UTC00128802
Virginia		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Furr, R. S.	5eb054cd-f585-4155-8cd8-d815ab46bef7	6			10	3032690		81a9d6ed-f394-404a-a3d8-8b041248b54f	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00190341
North Carolina		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Freeman, O. M.	d26c54bc-434c-4a91-9664-d2854b53cc1d	6			5	3032690		5f70e7b5-05d8-43d4-9935-f2a9929814dc	PreservedSpecimen		NCU	1956	Heuchera longiflora	north america	NCU00061164
North Carolina		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Leonard, Steven Worth; Russ, D.	55a829bc-5bc8-4bc6-8143-1f980b87e86c	6			18	3032690		59bc24f9-645e-4216-b69a-4da3fc6318d5	PreservedSpecimen		NCU	1969	Heuchera longiflora	north america	NCU00061184
North Carolina		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Wells, Elizabeth F.	a9774fb2-ceff-40ef-88ef-2b181ae3bea5	6			5	3032690		e98dd5bf-7edc-4a2b-b42e-6727bb7bc24f	PreservedSpecimen		NCU	1974	Heuchera longiflora	north america	NCU00061178
Kentucky		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Higgins, Paul D.	ebcd8814-27e1-41b5-a221-14c3e305fe8f	5			17	3032690		12c8068a-ac01-4eea-b53d-76b369c74513	PreservedSpecimen		NCU	1969	Heuchera longiflora	north america	NCU00190328
Tennessee		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Wells, Elizabeth F.	c746272d-c0e2-4110-a722-155946947afe	5			18	3032690		8334bda1-8c52-482c-938b-4d6b41443dd8	PreservedSpecimen		NCU	1974	Heuchera longiflora	north america	NCU00190331
