species, decimallongitude, decimallatitude
Heuchera_americana,-92.16638,38.37
Heuchera_americana,-92.13027,37.64083
Heuchera_americana,-92.05854,37.01495
Heuchera_americana,-92.01527,37.77166
Heuchera_americana,-91.93972,38.03055
Heuchera_americana,-91.87638,36.60222
Heuchera_americana,-91.84472,39.30138
Heuchera_americana,-91.72333,39.52138
Heuchera_americana,-91.68611,37.56916
Heuchera_americana,-91.66722,39.49194
Heuchera_americana,-91.66186,38.43244
Heuchera_americana,-91.64666,37.04166
Heuchera_americana,-91.57527,36.98694
Heuchera_americana,-91.49916,37.12666
Heuchera_americana,-91.38861,38.77944
Heuchera_americana,-91.31472,39.58305
Heuchera_americana,-91.30833,37.38333
Heuchera_americana,-91.20833,37.09333
Heuchera_americana,-91.18666,37.99555
Heuchera_americana,-91.16833,37.95166
Heuchera_americana,-91.1414,38.8114
Heuchera_americana,-91.13277,38.09611
Heuchera_americana,-91.09527,37.91888
Heuchera_americana,-91.07694,38.17305
Heuchera_americana,-91.06666,37.13333
Heuchera_americana,-91.06583,37.70333
Heuchera_americana,-91.01194,38.55805
Heuchera_americana,-90.99416,36.95222
Heuchera_americana,-90.945,39.02555
Heuchera_americana,-90.92361,36.88388
Heuchera_americana,-90.79416,37.60944
Heuchera_americana,-90.78777,37.93638
Heuchera_americana,-90.78694,37.18888
Heuchera_americana,-90.73166,37.115
Heuchera_americana,-90.71888,37.58472
Heuchera_americana,-90.70333,37.39833
Heuchera_americana,-90.7,38.16666
Heuchera_americana,-90.7,38.16666
Heuchera_americana,-90.69317,37.70161
Heuchera_americana,-90.68557,35.83995
Heuchera_americana,-90.68557,35.83995
Heuchera_americana,-90.6825,40.47138
Heuchera_americana,-90.67972,37.65027
Heuchera_americana,-90.67583,38.50361
Heuchera_americana,-90.67583,38.50361
Heuchera_americana,-90.675,38.125
Heuchera_americana,-90.675,36.125
Heuchera_americana,-90.675,38.125
Heuchera_americana,-90.675,38.125
Heuchera_americana,-90.66417,37.98
Heuchera_americana,-90.64027,37.62111
Heuchera_americana,-90.62888,37.58805
Heuchera_americana,-90.62694,37.61861
Heuchera_americana,-90.62361,38.54444
Heuchera_americana,-90.62361,38.54444
Heuchera_americana,-90.56583,38.29194
Heuchera_americana,-90.56055,38.53861
Heuchera_americana,-90.55,38.2
Heuchera_americana,-90.54666,37.0975
Heuchera_americana,-90.52583,38.17777
Heuchera_americana,-90.50111,37.18
Heuchera_americana,-90.4974,38.7881
Heuchera_americana,-90.491,38.3506
Heuchera_americana,-90.48083,38.20194
Heuchera_americana,-90.46667,38.3
Heuchera_americana,-90.46555,38.3625
Heuchera_americana,-90.44419,38.56719
Heuchera_americana,-90.4137,38.3025
Heuchera_americana,-90.41,38.3
Heuchera_americana,-90.39277,36.75694
Heuchera_americana,-90.36277,38.36527
Heuchera_americana,-90.36277,38.36527
Heuchera_americana,-90.36277,38.36527
Heuchera_americana,-90.34472,37.64555
Heuchera_americana,-90.33722,36.0425
Heuchera_americana,-90.31666,37.43333
Heuchera_americana,-90.31666,37.88638
Heuchera_americana,-90.29365,37.8013
Heuchera_americana,-90.2875,38.46166
Heuchera_americana,-90.2875,38.46166
Heuchera_americana,-90.28027,38.50277
Heuchera_americana,-90.28027,38.50277
Heuchera_americana,-90.26111,38.10166
Heuchera_americana,-90.25972,38.61056
Heuchera_americana,-90.25,38.6
Heuchera_americana,-90.22555,37.82888
Heuchera_americana,-90.1943,36.5647
Heuchera_americana,-90.15674,37.0025
Heuchera_americana,-90.14246,37.19032
Heuchera_americana,-90.03888,36.55
Heuchera_americana,-89.92194,36.83861
Heuchera_americana,-89.64027,37.19138
Heuchera_americana,-89.58888,40.69361
Heuchera_americana,-89.54944,37.69416
Heuchera_americana,-89.50889,37.24333
Heuchera_americana,-89.495,37.3369
Heuchera_americana,-89.32503,37.42947
Heuchera_americana,-88.98278,37.52944
Heuchera_americana,-88.125,34.28167
Heuchera_americana,-87.89056,43.06687
Heuchera_americana,-87.65584,34.34639
Heuchera_americana,-87.56667,33.2
Heuchera_americana,-87.50139,34.36889
Heuchera_americana,-87.47389,33.18917
Heuchera_americana,-87.05251,33.185
Heuchera_americana,-86.9052,36.2732
Heuchera_americana,-86.9052,36.2732
Heuchera_americana,-86.86639,32.38472
Heuchera_americana,-86.86639,32.38472
